# Star Number Kenya Inventory - Part 2

| STAR NUMBER | STATUS | CATEGORY |
| *1295 | Available  | Silver |
| *1296 | Available  | Silver |
| *1297 | Available  | Silver |
| *1298 | Available  | Silver |
| *1299 | Available  | Silver |
| *1300 | Available  | Platinum  |
| *1301 | Available  | Silver |
| *1302 | Available  | Silver |
| *1303 | Available  | Silver |
| *1304 | Available  | Silver |
| *1305 | Available  | Silver |
| *1306 | Available  | Silver |
| *1307 | Available  | Silver |
| *1308 | Available  | Silver |
| *1309 | Available  | Silver |
| *1310 | Available  | Silver |
| *1311 | Available  | Silver |
| *1312 | Available  | Silver |
| *1313 | Available  | Platinum  |
| *1314 | Available  | Silver |
| *1315 | Available  | Silver |
| *1316 | Available  | Silver |
| *1317 | Available  | Silver |
| *1318 | Available  | Silver |
| *1319 | Available  | Silver |
| *1320 | Available  | Silver |
| *1321 | Available  | Silver |
| *1322 | Available  | Silver |
| *1323 | Available  | Silver |
| *1324 | Available  | Silver |
| *1325 | Available  | Silver |
| *1326 | Available  | Silver |
| *1327 | Available  | Silver |
| *1328 | Available  | Silver |
| *1329 | Available  | Silver |
| *1330 | Available  | Silver |
| *1331 | Available  | Gold |
| *1332 | Available  | Silver |
| *1333 | Available  | Platinum  |
| *1334 | Available  | Silver |
| *1335 | Available  | Silver |
| *1336 | Available  | Silver |
| *1337 | Available  | Silver |
| *1338 | Available  | Silver |
| *1339 | Available  | Silver |
| *1340 | Available  | Silver |
| *1341 | Available  | Silver |
| *1342 | Available  | Silver |
| *1343 | Available  | Silver |
| *1344 | Available  | Silver |
| *1345 | Available  | Silver |
| *1346 | Available  | Silver |
| *1347 | Available  | Silver |
| *1348 | Available  | Silver |
| *1349 | Available  | Silver |
| *1350 | Available  | Silver |
| *1351 | Available  | Silver |
| *1352 | Available  | Silver |
| *1353 | Available  | Silver |
| *1354 | Available  | Silver |
| *1355 | Available  | Silver |
| *1356 | Available  | Silver |
| *1357 | Available  | Silver |
| *1358 | Available  | Silver |
| *1359 | Available  | Silver |
| *1360 | Available  | Silver |
| *1361 | Available  | Silver |
| *1362 | Available  | Silver |
| *1363 | Available  | Silver |
| *1364 | Available  | Silver |
| *1365 | Available  | Silver |
| *1366 | Available  | Silver |
| *1367 | Available  | Silver |
| *1368 | Available  | Silver |
| *1369 | Available  | Silver |
| *1370 | Available  | Silver |
| *1371 | Available  | Silver |
| *1372 | Available  | Silver |
| *1373 | Available  | Silver |
| *1374 | Available  | Silver |
| *1375 | Available  | Silver |
| *1376 | Available  | Silver |
| *1377 | Available  | Silver |
| *1378 | Available  | Silver |
| *1379 | Available  | Silver |
| *1380 | Available  | Silver |
| *1381 | Available  | Silver |
| *1382 | Available  | Silver |
| *1383 | Available  | Silver |
| *1384 | Available  | Silver |
| *1385 | Available  | Silver |
| *1386 | Available  | Silver |
| *1387 | Available  | Silver |
| *1388 | Available  | Silver |
| *1389 | Available  | Silver |
| *1390 | Available  | Silver |
| *1391 | Available  | Silver |
| *1392 | Available  | Silver |
| *1393 | Available  | Silver |
| *1394 | Available  | Silver |
| *1395 | Available  | Silver |
| *1396 | Available  | Silver |
| *1397 | Available  | Silver |
| *1398 | Available  | Silver |
| *1399 | Available  | Silver |
| *1400 | Available  | Platinum  |
| *1401 | Available  | Silver |
| *1402 | Available  | Silver |
| *1403 | Available  | Silver |
| *1404 | Available  | Silver |
| *1405 | Available  | Silver |
| *1406 | Available  | Silver |
| *1407 | Available  | Silver |
| *1408 | Available  | Silver |
| *1409 | Available  | Silver |
| *1410 | Available  | Silver |
| *1411 | Available  | Silver |
| *1412 | Available  | Silver |
| *1413 | Available  | Silver |
| *1414 | Available  | Platinum  |
